simulation,final_balance,max_drawdown,max_dd_duration,profit_loss
175,13484.731559767642,19.32089115738508,166.0,3484.7315597676425
176,20663.115597560685,6.01936014415991,31.0,10663.115597560685
177,17449.888214202394,8.335208150788748,41.0,7449.888214202394
178,20137.477038184872,5.361351730932491,36.0,10137.477038184872
179,18333.022265617965,17.765223962333547,63.0,8333.022265617965
180,20949.667475451366,4.659495808865741,24.0,10949.667475451366
181,17723.53549969743,6.1395230498931825,34.0,7723.535499697431
182,15711.819557329472,7.370365740740114,35.0,5711.819557329472
183,19191.158623396666,7.425997109951841,32.0,9191.158623396666
184,14130.962115984177,21.64049485250368,88.0,4130.962115984177
185,11309.71354611442,23.78040658787497,260.0,1309.7135461144208
186,18775.80493522306,8.295077450472913,42.0,8775.80493522306
187,16632.62475905497,9.05036071195965,59.0,6632.624759054968
188,22778.370059078145,8.475169957302931,43.0,12778.370059078145
189,16549.184043440135,25.801453431485694,156.0,6549.184043440135
190,20771.392467931255,5.894142226956918,32.0,10771.392467931255
191,19065.819987020775,7.104129444049681,65.0,9065.819987020775
192,23742.162512019255,5.8227203106625565,35.0,13742.162512019255
193,17703.061745714094,8.263922094391646,61.0,7703.061745714094
194,22051.627016599945,7.981871626616038,41.0,12051.627016599945
195,17819.072288574072,10.208129252450224,83.0,7819.072288574072
196,17583.833793160466,10.035459356427381,60.0,7583.833793160466
197,23283.28133726873,5.210816902805618,22.0,13283.28133726873
198,20280.412378430585,8.314407351719748,38.0,10280.412378430585
199,17640.568216975258,10.211706016312226,58.0,7640.568216975258
200,20041.230139164414,6.744705967552924,45.0,10041.230139164414
201,19166.812288873953,12.579683282873894,57.0,9166.812288873953
202,17526.027394932546,11.687995828291402,52.0,7526.027394932546
203,24255.050685910894,4.442601702119163,30.0,14255.050685910894
204,22845.507583390052,5.178291353509734,25.0,12845.507583390052
205,15469.108147145631,9.792696566412804,68.0,5469.108147145631
206,17889.699462958724,7.488442025950767,42.0,7889.699462958724
207,18870.76971648922,16.318912203108148,93.0,8870.76971648922
208,20117.25305642783,9.335979755556444,71.0,10117.253056427831
209,19135.57675726276,10.45698761654751,53.0,9135.57675726276
210,16414.37728743634,13.817421031373886,62.0,6414.3772874363385
211,18916.925827403975,10.917753425802534,49.0,8916.925827403975
212,20983.606937347984,7.472035759078696,54.0,10983.606937347984
213,18319.83208693942,14.324252840121062,97.0,8319.83208693942
214,19313.22348921129,7.546368431124235,77.0,9313.22348921129
215,20842.718371156057,6.283560775813515,32.0,10842.718371156057
216,18718.351082764922,7.422613672405837,62.0,8718.351082764922
217,18257.893983232985,7.118151686405024,34.0,8257.893983232985
218,12612.552702160418,9.621499414371906,85.0,2612.5527021604175
219,17763.060883353362,11.425540804874732,42.0,7763.060883353362
220,20742.364947388596,8.010751369327322,40.0,10742.364947388596
221,17673.418971144616,14.25341242406845,71.0,7673.418971144616
222,12915.98117732786,15.672558386023406,102.0,2915.9811773278598
223,19638.716857749696,5.203945999057007,61.0,9638.716857749696
224,18112.975249271076,10.596830382324798,70.0,8112.975249271076
225,18620.057832552033,8.948587468516001,28.0,8620.057832552033
226,15932.007978665002,6.662401152429539,31.0,5932.007978665002
227,18311.63331269892,8.108356259839287,56.0,8311.63331269892
228,15937.420971637632,9.620785989787281,91.0,5937.420971637632
229,20718.59298011737,12.703403181184894,55.0,10718.59298011737
230,16040.310331582854,12.828006004363019,67.0,6040.310331582854
231,19283.23374217807,6.011969091235155,50.0,9283.233742178068
232,16725.403465358228,9.730684289646263,44.0,6725.403465358228
233,16979.379371985626,3.609572865712714,35.0,6979.379371985626
234,21936.00709849481,6.638808280794165,43.0,11936.00709849481
235,16999.048732024712,12.911475571713446,97.0,6999.048732024712
236,12634.78979298903,18.411603591951508,112.0,2634.7897929890296
237,15635.098013035726,9.954104366984089,47.0,5635.098013035726
238,17475.712142859433,9.979974998677866,56.0,7475.712142859433
239,17034.174749116413,24.471432715139542,103.0,7034.174749116413
240,20721.296958068513,7.852008890223735,43.0,10721.296958068513
241,21411.544910425248,6.729096329992059,75.0,11411.544910425248
242,18751.631245641212,7.529699355338448,35.0,8751.631245641212
243,18421.341761580265,13.271631061974132,66.0,8421.341761580265
244,19184.27431920517,8.13976238894102,47.0,9184.274319205171
245,15438.179695775096,14.530053206264814,111.0,5438.179695775096
246,22443.41507262239,9.783177565868536,56.0,12443.415072622389
247,20985.69954630347,5.7601249439552,48.0,10985.69954630347
248,16386.157084659986,9.429032281192137,66.0,6386.157084659986
249,18599.187312458213,11.300725371888182,56.0,8599.187312458213
250,18348.400064826725,7.506659670835846,49.0,8348.400064826725
251,16392.561821027786,10.696989133594245,62.0,6392.561821027786
252,17913.84547466118,7.783953693434905,94.0,7913.845474661179
253,25240.641895847923,7.328724734482171,33.0,15240.641895847923
254,21346.53139628659,5.578293940788842,32.0,11346.531396286591
255,21093.69264356522,10.014786641867634,45.0,11093.69264356522
256,20514.966827544973,7.620575615382871,85.0,10514.966827544973
257,18704.919013065104,11.487948440325912,50.0,8704.919013065104
258,16248.238367403303,7.103686721187967,37.0,6248.238367403303
259,17872.81596035501,8.91497935014636,34.0,7872.815960355008
260,15176.305571330595,9.066188588941946,157.0,5176.305571330595
261,20508.6232104521,12.73358621726684,60.0,10508.6232104521
262,12532.132119301557,18.895740940618058,235.0,2532.1321193015574
263,14940.11087180952,16.45378015789175,89.0,4940.11087180952
264,18312.448362483818,12.451927854692375,64.0,8312.448362483818
265,21656.145581136272,9.679189353032768,30.0,11656.145581136272
266,21057.46177783163,13.697934079961943,52.0,11057.461777831631
267,20986.075173594734,7.705731261586969,33.0,10986.075173594734
268,17402.22172842954,7.411138360240639,176.0,7402.22172842954
269,14928.366980616935,16.959499017804692,112.0,4928.366980616935
270,20119.64939794053,16.72941965283895,81.0,10119.649397940531
271,18950.64480737747,10.932164501619358,46.0,8950.64480737747
272,20604.945758643495,6.950919728268004,53.0,10604.945758643495
273,21357.730653739956,5.054953085674951,21.0,11357.730653739956
274,20234.631664372962,10.366397506120558,43.0,10234.631664372962
275,17579.908723284112,9.149638151381904,53.0,7579.908723284112
276,17720.868183532875,7.64560084199801,44.0,7720.868183532875
277,15424.759701618043,14.962301534801647,57.0,5424.7597016180425
278,20501.58625009856,7.579586503176797,51.0,10501.58625009856
279,17722.88678780241,9.93645848170834,47.0,7722.88678780241
280,16388.302902508294,8.205736717868358,58.0,6388.302902508294
281,14765.550935515988,8.000524012913047,36.0,4765.550935515988
282,24167.21248029419,5.139284364327719,45.0,14167.21248029419
283,15829.640374910603,10.229263968226592,54.0,5829.640374910603
284,19901.121921172555,7.695326751248559,46.0,9901.121921172555
285,19081.60194935381,9.759287035872298,68.0,9081.601949353812
286,17935.693379609507,13.300317196936415,86.0,7935.693379609507
287,14759.01658062922,12.287015890842932,94.0,4759.016580629221
288,21829.129408459357,6.440957543230684,21.0,11829.129408459357
289,15389.298056837157,11.0177032950044,42.0,5389.298056837157
290,18231.07053181136,7.425346768960828,35.0,8231.070531811361
291,18813.99463888423,11.985277569678837,51.0,8813.994638884229
292,20528.69991958474,9.562506940895853,36.0,10528.699919584738
293,22555.212599114675,4.952159375656142,28.0,12555.212599114675
294,20448.465892534532,10.26134784011673,47.0,10448.465892534532
295,20945.914007485735,9.741576047261061,30.0,10945.914007485735
296,18409.416536638513,9.881020879671818,64.0,8409.416536638513
297,19325.140105525963,8.694923787917123,62.0,9325.140105525963
298,14957.003983371404,14.501975188288263,124.0,4957.003983371404
299,23572.289102028786,4.7167184775120585,27.0,13572.289102028786
300,17449.772353468546,7.02483274295623,48.0,7449.7723534685465
301,19870.967513075313,7.1467067520631575,35.0,9870.967513075313
302,17008.822463600285,24.268412176322627,117.0,7008.822463600285
303,14845.117465365918,24.33643291930699,142.0,4845.117465365918
304,13425.923394392707,13.783517401686682,76.0,3425.9233943927065
305,21133.417590411933,6.067175716275969,35.0,11133.417590411933
306,16142.283578686594,15.728236966683987,55.0,6142.283578686594
307,17459.40268908818,10.877890508422183,55.0,7459.40268908818
308,15684.218464263773,10.651848802741892,85.0,5684.218464263773
309,15200.226459158352,15.396837974724823,95.0,5200.226459158352
310,20283.0924395824,4.825714154831902,37.0,10283.0924395824
311,21070.285452745913,6.325778416787216,36.0,11070.285452745913
312,18327.883227975086,18.690180783281377,138.0,8327.883227975086
313,16461.451084862965,26.382979549062224,188.0,6461.451084862965
314,18127.178966914922,13.215048865693864,53.0,8127.178966914922
315,24788.837443051023,7.758376986017916,36.0,14788.837443051023
316,15204.006406588967,11.651866139302852,90.0,5204.006406588967
317,18704.19166637864,13.112259480808685,40.0,8704.19166637864
318,20725.12932297204,6.42417905103195,32.0,10725.12932297204
319,15879.747599861774,19.803470167133735,93.0,5879.747599861774
320,18388.973413233143,5.642420524312368,37.0,8388.973413233143
321,18621.57535196464,7.776319290588541,55.0,8621.575351964639
322,15947.683477747836,10.675159571918599,45.0,5947.683477747836
323,19791.31529575702,7.81811156342137,52.0,9791.31529575702
324,17735.5313928997,10.480593291426576,52.0,7735.531392899698
325,17302.23878202537,8.454342079673701,34.0,7302.238782025372
326,19611.139263971978,6.116927566105983,38.0,9611.139263971978
327,16065.675391362842,7.027869792556871,45.0,6065.675391362842
328,16170.869619166378,8.752605726584802,36.0,6170.8696191663785
329,15411.211381131401,10.833056292983786,75.0,5411.211381131401
330,20487.21661313218,4.764546168757282,36.0,10487.21661313218
331,16227.878841808546,9.392198053446613,54.0,6227.878841808546
332,19073.898699412268,6.880664858058015,38.0,9073.898699412268
333,17225.125234067615,16.637403254636435,150.0,7225.125234067615
334,23239.680258157496,7.113828020300807,44.0,13239.680258157496
335,22508.98537361853,11.107701701741831,28.0,12508.985373618529
336,20497.234864093414,7.589618294341287,30.0,10497.234864093414
337,18322.309185654573,8.717515756905183,59.0,8322.309185654573
338,19907.312634358528,5.071572944770311,41.0,9907.312634358528
339,22048.78926193002,7.81350623965549,41.0,12048.789261930018
340,19901.54884253331,9.619668736406677,48.0,9901.54884253331
341,14492.78043330542,15.074092875732688,85.0,4492.780433305419
342,22675.080048423246,7.771575551724418,36.0,12675.080048423246
343,19596.433118679346,12.109962591257613,77.0,9596.433118679346
344,17970.593134761235,14.404375175520496,63.0,7970.593134761235
345,20062.214032200143,8.587648668908567,34.0,10062.214032200143
346,16271.490958331226,10.127449653066597,72.0,6271.490958331226
347,14721.61610058293,14.871877486211382,92.0,4721.616100582931
348,23676.116770180524,7.828552705324719,41.0,13676.116770180524
349,19389.364691927207,8.824845248850016,55.0,9389.364691927207
350,12808.42725718135,13.194656280410596,91.0,2808.427257181351
351,14741.009611087367,10.975490717029574,81.0,4741.009611087367
352,17003.315113150722,10.488825631960417,74.0,7003.315113150722
353,15012.135050209421,21.84043686335831,86.0,5012.135050209421
354,22822.378810962844,6.057860462197948,22.0,12822.378810962844
355,18399.159925720916,11.628386799632258,96.0,8399.159925720916
356,13979.561664591254,17.36734123539335,74.0,3979.561664591254
357,18333.463051640865,6.940272523427231,52.0,8333.463051640865
358,15041.382375653293,9.841339172580732,84.0,5041.382375653293
359,19079.161977002514,7.192130231989584,35.0,9079.161977002514
360,14920.453714442407,8.97278863609043,59.0,4920.453714442407
361,21588.81455871927,9.669228274953767,69.0,11588.81455871927
362,21884.96728443038,6.940626831667022,28.0,11884.967284430379
363,10034.810450054241,36.19915659321345,219.0,34.8104500542413
364,18695.18472246373,7.814603644788569,72.0,8695.184722463731
365,15170.118350689021,7.9674497702802425,72.0,5170.118350689021
366,18894.4908788214,12.130846783249824,44.0,8894.490878821402
367,13725.206525231612,24.69906515008348,170.0,3725.2065252316115
368,12958.29115938874,13.395358436025553,82.0,2958.29115938874
369,16362.168879063198,16.875063507326896,126.0,6362.168879063198
370,17380.76218490386,8.281515547138541,89.0,7380.762184903859
371,16184.537671473157,9.318202745541994,77.0,6184.537671473157
372,21966.25326951607,7.175703532635441,30.0,11966.25326951607
373,19166.523026515664,9.352663319605218,44.0,9166.523026515664
374,20250.04462221166,11.049232655139333,64.0,10250.044622211659
375,16157.768435612712,11.469133706819441,54.0,6157.768435612712
376,21382.42225953558,7.191114874352154,32.0,11382.422259535579
377,21617.15273471737,7.998226497842182,53.0,11617.152734717369
378,17354.522260068286,11.168345745444554,36.0,7354.522260068286
379,15605.134191212477,17.01817266855387,146.0,5605.134191212477
380,15789.365872012277,20.283062229353703,130.0,5789.365872012277
381,19274.17407118215,15.37628602469293,47.0,9274.174071182151
382,12599.388600744913,16.708090470051427,57.0,2599.3886007449128
383,17821.962556951683,8.856519782371382,72.0,7821.962556951683
